epoch	train_loss	eval_loss	eval_top1	eval_top5
0	6.913001299	6.857731318	0.4999999982	1.689999995
1	6.761281627	6.144085424	2.563999997	8.854000005
2	6.566323076	5.627922377	5.126000007	15.72399997
3	6.380618879	5.077777988	10.07400002	25.73200001
4	6.204351766	4.611636173	14.70800002	33.95399997
5	6.025766747	4.106199132	20.63799997	43.46599996
6	5.847623893	3.717910461	25.54600005	49.95000011
7	5.669392279	3.347409837	31.80600001	57.57600003
8	5.528334992	3.061046054	36.34800003	62.70599995
9	5.387733221	2.843697432	40.36200002	66.9140001
10	5.265279566	2.633993067	44.32599998	70.48200009
11	5.149167946	2.50467993	46.76200005	72.89
12	5.072068896	2.369067063	48.97600001	75.1800001
13	5.012365171	2.348375036	50.00200002	75.79800006
14	4.946704865	2.209346479	52.2639999	77.43000002
15	4.905805247	2.164400191	53.56600013	78.63800007
16	4.858599765	2.08581623	54.57199998	79.47599997
17	4.821058682	2.03694256	55.63000005	80.13399996
18	4.754349164	1.929476458	57.42200005	81.52200009
19	4.661197015	1.856204604	59.07400009	82.83800003
20	4.625498874	1.800021159	60.30800001	83.90200009
21	4.556209598	1.732825204	61.71799993	84.89400006
22	4.475701571	1.697331366	62.904	85.64600011
23	4.428713288	1.653596472	63.98799996	86.14000006
24	4.376069886	1.583566997	64.53599998	86.70800003
25	4.315484524	1.543828818	65.822	87.596
26	4.291441066	1.48466541	66.86400005	88.05200005
27	4.231677004	1.471131234	67.19599997	88.40400007
28	4.193298578	1.419725731	67.72399995	88.75199995
29	4.17669516	1.449831941	68.10999997	88.88999997
30	4.141682948	1.372756124	68.87000012	89.35800005
31	4.119020922	1.362842253	69.288	89.52999992
32	4.09656683	1.342648052	69.76600003	90.02800028
33	4.089684537	1.324026034	70.33799997	90.05800007
34	4.061986991	1.294390531	70.49000007	90.24000005
35	4.025167227	1.283889737	70.49000015	90.28800002
36	4.000577637	1.276931103	71.27000002	90.64400012
37	3.977683697	1.271825683	71.54400011	90.89799991
38	3.968775238	1.262204099	71.39400009	90.97800007
39	3.938168202	1.253261973	71.82800007	91.01399994
40	3.947777748	1.228888645	72.21200007	91.2120001
41	3.922934839	1.221194529	72.42599993	91.17600004
42	3.900672146	1.211756441	72.63199999	91.37200002
43	3.891432881	1.203859162	72.41400014	91.42400007
44	3.878281866	1.196791563	72.93999996	91.56400009
45	3.868952547	1.181129683	72.87000004	91.6680001
46	3.874262742	1.187774152	73.25999996	91.79200002
47	3.857880524	1.154163999	73.55600011	91.92999999
48	3.825644697	1.165146436	73.66400006	92.04800019
49	3.820438096	1.170657296	73.66399999	92.08000012
50	3.819287726	1.17037165	73.37400014	92.00999996
51	3.791288291	1.12613784	73.95799999	92.21400004
52	3.805008088	1.134835058	74.37000009	92.35399999
53	3.798599703	1.152775878	74.20000003	92.42200017
54	3.781377622	1.136407588	74.25199996	92.42599999
55	3.759510875	1.125298276	74.27400006	92.48200009
56	3.776419895	1.096317926	74.49400004	92.57200019
57	3.767340081	1.125865166	74.66000004	92.5220001
58	3.754183054	1.114121914	74.60200014	92.63200012
59	3.762281026	1.113626309	74.85400007	92.75800017
60	3.73144269	1.110204132	74.65599998	92.69000004
61	3.737390927	1.124995146	74.85600001	92.67800012
62	3.707579664	1.064523263	75.06999999	92.73400004
63	3.717393058	1.117569078	74.978	92.79800009
64	3.711606213	1.107795517	75.28200011	92.91400006
65	3.717213852	1.086564629	75.11399998	92.76000006
66	3.702746834	1.082565982	75.22199993	92.96800001
67	3.695250835	1.065462854	75.37800008	93.13000014
68	3.692532216	1.076244655	75.47000009	92.90800014
69	3.694451588	1.075827158	75.72399993	93.11000001
70	3.690761907	1.06159098	75.522	93.15200007
71	3.66839041	1.066271703	75.50200011	93.09800004
72	3.672531298	1.056537478	75.67599996	93.16600004
73	3.650957993	1.075173085	75.69800004	93.07200006
74	3.663316539	1.073580273	75.68199996	93.17600001
75	3.663593786	1.052213494	75.58199993	93.21800011
76	3.628347175	1.03390845	76.20800011	93.44800009
77	3.640966398	1.052992863	75.99200003	93.45799996
78	3.646266154	1.043381317	76.18599998	93.33600009
79	3.63856663	1.047625149	76.07600017	93.32400001
80	3.630207624	1.023744758	76.30999988	93.45999998
81	3.638915079	1.042934901	76.34599998	93.47799988
82	3.607032367	1.044576016	76.14800003	93.45600001
83	3.633141313	1.036485971	76.20200011	93.40400007
84	3.611221535	1.050900771	76.29400006	93.50400011
85	3.616281237	1.024137265	76.50400006	93.54400022
86	3.609388522	1.028516903	76.7759999	93.58800009
87	3.595447625	1.011578943	76.63000009	93.63200004
88	3.579950503	1.028449685	76.82800006	93.63199999
89	3.58230991	1.013791361	76.61599993	93.62600006
90	3.590382729	1.020616848	76.84000008	93.71199993
91	3.588954909	0.9983490827	76.99399998	93.89000011
92	3.586752534	0.9968194655	76.89799998	93.88200017
93	3.580000911	0.9989759994	76.73000008	93.85600017
94	3.578679323	1.005947356	76.96400016	93.91200014
95	3.550036158	1.00907395	76.74800006	93.85600009
96	3.558552878	1.015046765	77.05399995	93.97199996
97	3.556361556	1.030329271	77.10800005	93.78800006
98	3.577016217	1.016495142	77.06799993	94.05199996
99	3.548931241	0.983356522	77.26000011	94.03199998
100	3.539836015	0.9986022405	77.11400013	93.91600011
101	3.564150453	1.00415012	77.32000006	93.91800001
102	3.536392842	1.001878855	77.18400009	94.00000006
103	3.538246717	1.014467212	77.19800008	93.96800004
104	3.523329241	1.001179792	77.39399992	94.13600003
